"gauge_name","year","month","ym","wy","wym","Q_m3s","cod_cuenca","area_km2"
"Aconcagua en Chacabuquito",2017,1,2017-01-01,2016,10,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,2,2017-02-01,2016,11,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,3,2017-03-01,2016,12,21,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,9,2017-09-01,2017,6,13,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,10,2017-10-01,2017,7,18,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,11,2017-11-01,2017,8,32,5410002,2113.422512
"Aconcagua en Chacabuquito",2017,12,2017-12-01,2017,9,35,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,1,2018-01-01,2017,10,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,2,2018-02-01,2017,11,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,3,2018-03-01,2017,12,18,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,9,2018-09-01,2018,6,9,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,10,2018-10-01,2018,7,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,11,2018-11-01,2018,8,27,5410002,2113.422512
"Aconcagua en Chacabuquito",2018,12,2018-12-01,2018,9,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,1,2019-01-01,2018,10,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,2,2019-02-01,2018,11,18,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,3,2019-03-01,2018,12,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,9,2019-09-01,2019,6,4.7,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,10,2019-10-01,2019,7,6,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,11,2019-11-01,2019,8,10,5410002,2113.422512
"Aconcagua en Chacabuquito",2019,12,2019-12-01,2019,9,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,1,2020-01-01,2019,10,18,5410002,2113.422512
