"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2000,3,"3414001",0,12.262,32.986,56.485,0,101.733
2001,3,"3414001",0,19.512,74.868,22.973,0,117.353
2002,3,"3414001",0,20.599,72.543,76.829,0,169.971
2003,3,"3414001",0,21.784,34.096,26.051,0,81.931
2004,3,"3414001",0,9.113,27.097,16.554,0,52.764
2005,3,"3414001",0.265,12.48,38.506,32.262,0,83.513
2006,3,"3414001",0,12.652,29.357,10.799,0,52.808
2007,3,"3414001",0,7.011,42.217,68.847,0,118.075
2008,3,"3414001",0,11.045,20.273,40.117,0,71.435
2009,3,"3414001",0,7.257,19.181,18.533,0,44.971
2010,3,"3414001",0,5.164,26.498,46.37,0,78.032
2011,3,"3414001",0,7.808,29.448,53.281,0,90.537
2012,3,"3414001",0,14.594,49.569,39.049,0,103.212
2013,3,"3414001",0,8.919,33.43,27.646,0,69.995
2014,3,"3414001",0,7.138,12.308,28.867,0,48.313
2015,3,"3414001",0,8.993,46.754,2.909,0,58.656
2016,3,"3414001",0,18.157,63.6,96.815,0,178.572
2017,3,"3414001",0,23.165,42.1,132.864,0,198.129
2018,3,"3414001",0,21.671,22.894,26.195,0,70.76
2019,3,"3414001",0,10.611,28.104,19.773,0,58.488
1981,4,"3414001",0,12.86,28.707,14.914,0,56.481
1982,4,"3414001",0,7.673,23.324,69.783,0,100.78
1983,4,"3414001",0,15.269,50.668,128.24,0,194.177
1984,4,"3414001",0,30.929,44.649,132.534,0,208.112
1985,4,"3414001",0,25.752,29.825,29.823,0,85.4
1986,4,"3414001",0,12.212,17.621,53.317,0,83.15
1987,4,"3414001",0,19.318,54.445,179.164,0,252.927
1988,4,"3414001",0,36.332,50.931,37.995,0,125.258
1989,4,"3414001",0,17.67,30.525,73.23,0,121.425
1990,4,"3414001",0,19.161,24.159,32.5,0,75.82
1991,4,"3414001",0,7.564,23.045,76.025,0,106.634
1992,4,"3414001",0,15.225,56.627,132.303,0,204.155
1993,4,"3414001",0,22.559,34.891,35.952,0,93.402
1994,4,"3414001",0,8.14,28.557,25.926,0,62.623
1995,4,"3414001",0,5.105,19.104,16.648,0,40.857
1996,4,"3414001",0,7.958,23.764,18.326,0,50.048
1997,4,"3414001",0,8.283,57.745,139.686,0,205.714
1998,4,"3414001",0,32.557,55.777,51.104,0,139.438
1999,4,"3414001",0,15.228,34.463,26.51,0,76.201
2000,4,"3414001",0,10.904,32.986,78.753,0,122.643
2001,4,"3414001",0.474,17.842,75.89,32.218,0,126.424
2002,4,"3414001",0,18.318,72.543,124.211,0,215.072
2003,4,"3414001",0,19.483,35.195,44.463,0,99.141
2004,4,"3414001",0,8.588,34.578,48.413,0,91.579
2005,4,"3414001",0,11.151,37.852,45.567,0,94.57
2006,4,"3414001",0,11.648,32.306,26.229,0,70.183
2007,4,"3414001",0,6.235,42.217,91.752,0,140.204
2008,4,"3414001",0,9.823,20.287,48.036,0,78.146
2009,4,"3414001",0,6.454,19.181,38.49,0,64.125
2010,4,"3414001",0,4.592,26.498,57.213,0,88.303
2011,4,"3414001",0,6.943,29.448,96.272,0,132.663
2012,4,"3414001",0,12.978,49.347,39.797,0,102.122
2013,4,"3414001",0,8.165,36.215,52.93,0,97.31
2014,4,"3414001",0,6.347,12.316,33.98,0,52.643
2015,4,"3414001",0,8.011,46.88,31.135,0,86.026
2016,4,"3414001",0,16.184,63.824,135.034,0,215.042
2017,4,"3414001",0,20.599,41.267,132.9,0,194.766
2018,4,"3414001",0,19.303,23.593,69.622,0,112.518
2019,4,"3414001",0.171,9.443,27.149,23.763,0,60.526
1981,5,"3414001",0,11.573,30.325,38.302,0,80.2
1982,5,"3414001",0.155,6.834,21.526,71.537,0,100.052
1983,5,"3414001",0,13.789,52.349,172.904,0,239.042
1984,5,"3414001",0,27.504,44.649,149.163,0,221.316
1985,5,"3414001",0,23.335,36.152,64.24,0,123.727
1986,5,"3414001",0,10.86,17.633,80.449,0,108.942
1987,5,"3414001",0,17.246,54.918,237.143,0,309.307
1988,5,"3414001",0.363,32.377,48.96,39.656,0,121.356
1989,5,"3414001",0,15.714,30.537,104.977,0,151.228
1990,5,"3414001",0,17.157,24.535,34.617,0,76.309
1991,5,"3414001",0.216,6.8,23.257,79.378,0,109.651
1992,5,"3414001",0,13.603,56.69,141.032,0,211.325
1993,5,"3414001",0,20.152,34.271,45.126,0,99.549
1994,5,"3414001",0,7.617,32.995,35.596,0,76.208
1995,5,"3414001",0.223,4.616,19.401,18.544,0,42.784
1996,5,"3414001",0,7.113,24.225,37.618,0,68.956
1997,5,"3414001",0,7.408,58.012,210.411,0,275.831
1998,5,"3414001",0.39,29.644,61.301,53.374,0.316,145.025
1999,5,"3414001",0.217,13.716,35.277,31.639,0,80.849
2000,5,"3414001",0,9.79,34.273,86.867,0,130.93
2001,5,"3414001",0,16.606,75.263,52.861,0,144.73
2002,5,"3414001",0,17.282,75.705,145.059,0,238.046
2003,5,"3414001",0,17.382,34.789,50.378,0,102.549
2004,5,"3414001",0.262,7.741,35.185,67.929,0,111.117
2005,5,"3414001",0,10.174,38.978,62.78,0,111.932
2006,5,"3414001",0,11.423,44.836,35.305,0,91.564
2007,5,"3414001",0,5.554,42.316,98.13,0,146
2008,5,"3414001",0.132,8.737,19.919,52.952,0,81.74
2009,5,"3414001",0,5.754,19.168,50.271,0,75.193
