"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",0.197,12.377,65.264,27.219,0,105.057
1982,1,"3414001",0.252,13.81,49.862,0,0,63.924
1983,1,"3414001",0.21,18.153,62.321,3.679,0.259,84.622
1984,1,"3414001",0.256,18.92,77.351,112.927,0.146,209.6
1985,1,"3414001",0.182,19.783,70.184,207.041,0,297.19
1986,1,"3414001",0.346,21.273,70.805,151.007,0.026,243.457
1987,1,"3414001",0.229,20.465,87.652,151.065,0.754,260.165
1988,1,"3414001",0.292,22.163,79.462,372.685,0.325,474.927
1989,1,"3414001",0,20.547,71.206,335.351,0,427.104
1990,1,"3414001",0,18.655,68.7,385.357,0,472.712
1991,1,"3414001",0.217,19.508,70.515,285.56,0.293,376.093
1992,1,"3414001",0,19.71,74.469,336.459,0.274,430.912
1993,1,"3414001",0.29,19,71.655,375.875,0.171,466.991
1994,1,"3414001",0.187,14.682,51.338,0,0,66.207
1995,1,"3414001",0.091,9.529,21.656,0,0,31.276
1996,1,"3414001",0.114,8.709,31.06,0,0,39.883
1997,1,"3414001",0.098,6.497,22.42,0,0,29.015
1998,1,"3414001",0.223,17.463,75.921,209.23,0,302.837
1999,1,"3414001",0.201,19.901,76.172,147.767,0.588,244.629
2000,1,"3414001",0.266,20.909,69.678,73.444,0,164.297
2001,1,"3414001",0.223,19.85,87.947,79.589,0.881,188.49
2002,1,"3414001",0.216,22.022,74.78,13.535,0.145,110.698
2003,1,"3414001",0.276,23.801,76.824,60.281,0.13,161.312
2004,1,"3414001",0.135,20.856,54.302,2.625,0,77.918
2005,1,"3414001",0.083,17.554,51.81,21.401,0.132,90.98
2006,1,"3414001",0.226,14.819,50.909,0,0,65.954
2007,1,"3414001",0.061,9.094,19.349,0.536,0,29.04
2008,1,"3414001",0.071,12.72,43.342,0.466,0,56.599
2009,1,"3414001",0.138,11.249,31.917,0,0,43.304
2010,1,"3414001",0.079,7.567,17.921,0,0,25.567
2011,1,"3414001",0.127,10.871,48.659,0,0,59.657
2012,1,"3414001",0,16.901,73.123,23.509,0,113.533
2013,1,"3414001",0.118,13.323,33.004,0,0,46.445
2014,1,"3414001",0.059,10.031,23.352,0,0,33.442
2015,1,"3414001",0.203,10.614,47.428,0.25,0,58.495
2016,1,"3414001",0.226,16.327,83.68,29.091,2.322,131.646
2017,1,"3414001",0.28,21.033,77.307,22.394,0.152,121.166
2018,1,"3414001",0.352,21.61,78.071,123.073,0.927,224.033
2019,1,"3414001",0.234,22.717,73.497,66.583,0.233,163.264
1981,2,"3414001",0.142,12.303,65.001,27.593,0,105.039
1982,2,"3414001",0.127,13.587,53.904,6.605,0,74.223
1983,2,"3414001",0.122,18.761,71.26,22.903,0,113.046
1984,2,"3414001",0.199,17.93,73.139,110.182,0,201.45
1985,2,"3414001",0.166,18.976,68.363,203.478,0,290.983
1986,2,"3414001",0,21.057,74.004,165.34,0,260.401
1987,2,"3414001",0.186,20.327,88.973,228.479,0,337.965
1988,2,"3414001",0,22.662,87.662,378.714,0.063,489.101
1989,2,"3414001",0.129,18.941,68.328,363.477,0,450.875
1990,2,"3414001",0.091,17.415,65.371,383.65,0,466.527
1991,2,"3414001",0.218,19.142,68.924,279.386,0,367.67
1992,2,"3414001",0,18.605,72,386.113,0,476.718
1993,2,"3414001",0,18.115,69.641,399.042,0,486.798
1994,2,"3414001",0.115,13.453,46.342,0,0,59.91
1995,2,"3414001",0.05,8.779,20.437,8.691,0,37.957
1996,2,"3414001",0.056,7.98,28.252,0,0,36.288
1997,2,"3414001",0.071,7.051,34.557,4.307,0.08,46.066
1998,2,"3414001",0,16.919,74.941,210,0,301.86
1999,2,"3414001",0.202,19.355,72.822,144.087,0,236.466
2000,2,"3414001",0.147,20.426,72.688,86.176,0,179.437
2001,2,"3414001",0.173,19.719,86.644,89.427,0,195.963
2002,2,"3414001",0.187,22.574,115.247,81.458,5.964,225.43
2003,2,"3414001",0.197,23.97,90.5,79.694,1.572,195.933
2004,2,"3414001",0.101,19.294,51.82,8.572,0,79.787
2005,2,"3414001",0.125,16.32,49.089,21.098,0,86.632
2006,2,"3414001",0.122,14.15,51.526,0.145,0.202,66.145
2007,2,"3414001",0,10.068,42.952,16.333,0,69.353
2008,2,"3414001",0.059,12.11,44.802,21.53,0.135,78.636
2009,2,"3414001",0,10.631,33.006,6.5,0.068,50.205
2010,2,"3414001",0,8.04,30.993,51.059,0,90.092
