"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1997,4,"3414001",0,2.497,268.497,161.346,0,432.34
1998,4,"3414001",0,14.772,446.726,62.356,0,523.854
1999,4,"3414001",0,8.954,402.621,28.699,0,440.274
2000,4,"3414001",0,5.772,361.589,89.342,0,456.703
2001,4,"3414001",0.255,10.098,415.676,41.346,0,467.375
2002,4,"3414001",0,6.992,378.107,160.423,0,545.522
2003,4,"3414001",0,9.851,394.353,57.691,0,461.895
2004,4,"3414001",0,4.795,335.879,57.901,0,398.575
2005,4,"3414001",0,5.517,346.532,53.764,0,405.813
2006,4,"3414001",0,6.568,350.725,34.165,0,391.458
2007,4,"3414001",0,2.487,276.896,112.668,0,392.051
2008,4,"3414001",0,4.075,311.163,51.783,0,367.021
2009,4,"3414001",0,3.444,294.411,41.484,0,339.339
2010,4,"3414001",0,2.467,267.306,60.491,0,330.264
2011,4,"3414001",0,3.08,286.279,102.029,0,391.388
2012,4,"3414001",0,5.799,344.252,49.917,0,399.968
2013,4,"3414001",0,3.767,305.835,66.665,0,376.267
2014,4,"3414001",0,3.023,285.77,34.811,0,323.604
2015,4,"3414001",0,3.21,287.201,40.15,0,330.561
2016,4,"3414001",0,5.365,335.142,155.575,0,496.082
2017,4,"3414001",0,9.891,394.468,144.257,0,548.616
2018,4,"3414001",0,11.355,411.317,73.543,0,496.215
2019,4,"3414001",0.211,5.769,341.722,30.467,0,378.169
1981,5,"3414001",0,1.558,239.744,45.837,0,287.139
1982,5,"3414001",0.177,1.672,252.191,77.979,0,332.019
1983,5,"3414001",0,3.832,316.351,195.683,0,515.866
1984,5,"3414001",0,13.738,467.345,153.337,0,634.42
1985,5,"3414001",0,13.377,464.228,74.881,0,552.486
1986,5,"3414001",0,6.643,394.357,83.71,0,484.71
1987,5,"3414001",0,11.139,451.618,243.677,0,706.434
1988,5,"3414001",0.391,22.499,538.702,47.616,0,609.208
1989,5,"3414001",0,11.726,473.081,110.163,0,594.97
