"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1981,10,"3421001",0.343,7.896,23.784,0,0,32.023
1982,10,"3421001",0.457,13.141,34.622,0,0,48.22
1983,10,"3421001",0.778,36.855,70.088,0,0,107.721
1984,10,"3421001",0.634,47.599,65.576,0,0,113.809
1985,10,"3421001",0.276,16.737,21.822,0,0,38.835
1986,10,"3421001",0.394,13.452,30.837,0,0,44.683
1987,10,"3421001",0.878,90.946,72.661,0,0,164.485
1988,10,"3421001",0.485,28.042,36.258,0,0,64.785
1989,10,"3421001",0.655,29.636,50.676,0,0,80.967
1990,10,"3421001",0.125,9.199,11.949,0,0,21.273
1991,10,"3421001",0.352,11.035,34.827,0,0,46.214
1992,10,"3421001",0.692,23.399,46.89,0,0,70.981
1993,10,"3421001",0.163,7.809,14.152,0,0,22.124
1994,10,"3421001",0.234,3.802,20.18,0,0,24.216
1995,10,"3421001",0.352,3.369,29.39,0,0,33.111
1996,10,"3421001",0.217,2.502,21.028,0,0,23.747
1997,10,"3421001",0.911,84.99,62.509,0,0,148.41
1998,10,"3421001",0.222,25.184,18.325,0,0,43.731
1999,10,"3421001",0.353,11.351,29.179,0,0,40.883
2000,10,"3421001",0.517,12.796,37.397,0,0,50.71
2001,10,"3421001",0.402,9.153,28.546,0,0,38.101
2002,10,"3421001",0.615,37.831,45.172,0,0,83.618
2003,10,"3421001",0.285,12.285,20.275,0,0,32.845
2004,10,"3421001",0.335,9.111,27.726,0,0,37.172
2005,10,"3421001",0.408,7.094,28.091,0,0,35.593
2006,10,"3421001",0.158,3.91,13.434,0,0,17.502
2007,10,"3421001",0.237,7.917,24.694,0,0,32.848
2008,10,"3421001",0.319,4.998,24.591,0,0,29.908
2009,10,"3421001",0.327,2.993,25.401,0,0,28.721
2010,10,"3421001",0.373,7.532,26.372,0,0,34.277
2011,10,"3421001",0.423,12.465,37.05,0,0,49.938
2012,10,"3421001",0.345,6.327,24.476,0,0,31.148
2013,10,"3421001",0.288,6.078,23.141,0,0,29.507
2014,10,"3421001",0.236,3.927,16.529,0,0,20.692
2015,10,"3421001",0.549,22.469,42.664,0,0,65.682
2016,10,"3421001",0.43,21.446,37.657,0,0,59.533
2017,10,"3421001",0.625,41.35,43.844,0,0,85.819
2018,10,"3421001",0.298,17.569,24.7,0,0,42.567
2019,10,"3421001",0.203,5.301,17.453,0,0,22.957
1981,11,"3421001",0.174,7.142,17.563,0,0,24.879
