"wy_simple","wym","cod_cuenca","Q_mm"
"1981",10,"5100001",2.14617578048267
"1981",10,"5101001",1.27450379204064
"1981",10,"5200001",3.77200993837486
"1981",10,"5401003",82.0545014032355
"1981",10,"5410002",43.1750108945041
"1981",10,"5411001",2.2280896496261
"1981",10,"5414001",12.4416466794711
"1981",10,"5707002",89.1384468010591
"1981",10,"5710001",77.2575295407794
"1981",10,"5721001",41.3345202082011
"1981",10,"5722001",7.94590318207988
"1981",10,"5722002",18.1668217044934
"1981",10,"5730008",7.37399679420041
"1981",10,"5741001",1.08224237638294
"1981",10,"6003001",194.992476094564
"1981",10,"6008005",70.466522755922
"1981",10,"6013001",71.8270249877774
"1981",10,"6027001",14.9634289702285
"1981",10,"6028001",139.625127023133
"1981",10,"7103001",69.4181476982813
"1981",10,"7104002",86.0728184351183
"1981",10,"7112001",98.8216881888749
"1981",10,"7115001",118.826836813816
"1981",10,"7330001",15.2558804906268
"1981",10,"7358001",73.370508418299
"1981",10,"7381001",8.91343731911478
"1981",10,"8104001",43.1764299067008
"1981",10,"8106001",56.9601953623966
"1981",10,"7317005",73.3716186565306
"1981",10,"7350003",53.2134908700322
"1981",10,"7321002",67.6008915038637
"1981",10,"7354002",35.0418090818247
"1981",10,"7355002",58.1878580938219
"1981",11,"3414001",1.70624982964271
"1981",11,"3421001",1.14419743990086
"1981",11,"3430003",0.586311682722176
"1981",11,"3820001",0.803072279854877
"1981",11,"4302001",3.25321514781509
"1981",11,"4311001",7.7247916729012
"1981",11,"4313001",10.3056582727903
"1981",11,"4320001",2.28628683961376
"1981",11,"4501001",4.11786491246605
"1981",11,"4503001",0.173806093967261
"1981",11,"4511002",8.59395216289903
"1981",11,"4513001",1.44057291216026
"1981",11,"4515002",0.0858392878671685
"1981",11,"4522002",0.0412755226739
"1981",11,"4531002",0.743170669209474
"1981",11,"4703002",5.34070494813283
"1981",11,"5100001",1.9980362388406
"1981",11,"5101001",1.144824861263
"1981",11,"5200001",3.50339635713742
"1981",11,"5401003",54.2555927060124
"1981",11,"5410002",29.7495080275832
"1981",11,"5411001",1.77024992946509
"1981",11,"5414001",10.3706414822765
"1981",11,"5707002",68.956541573492
"1981",11,"5710001",55.6550601644473
"1981",11,"5721001",32.5670551048648
"1981",11,"5722001",4.90093154373913
"1981",11,"5722002",12.0710363688795
"1981",11,"5730008",10.9885886845697
"1981",11,"5741001",0.9701657662076
"1981",11,"6003001",147.925636872646
"1981",11,"6008005",49.4256822827025
"1981",11,"6013001",44.7362624574008
"1981",11,"6027001",14.6665118338251
"1981",11,"6028001",98.1935346693687
"1981",11,"7103001",43.8790953615931
"1981",11,"7104002",69.40593221361
"1981",11,"7112001",58.4407115292838
"1981",11,"7115001",86.9468960274412
"1981",11,"7330001",13.8491269970711
"1981",11,"7358001",91.4033685995156
"1981",11,"7381001",11.1184219425677
"1981",11,"8104001",31.947187592251
"1981",11,"8106001",42.9833203430052
"1981",11,"7317005",49.0547339043493
"1981",11,"7350003",47.8355316863588
"1981",11,"7321002",52.8392760720371
"1981",11,"7354002",26.731222545981
"1981",11,"7355002",56.2195214467797
"1981",12,"3414001",1.29100126113924
"1981",12,"3421001",0.811914546168589
"1981",12,"3430003",0.52380263856226
"1981",12,"3820001",0.885515593701305
"1981",12,"4302001",3.05783655358187
"1981",12,"4311001",5.08566338236123
"1981",12,"4313001",7.4805504150332
"1981",12,"4320001",2.5473285883479
"1981",12,"4501001",4.81499136433462
"1981",12,"4503001",0.193744888296839
"1981",12,"4511002",7.5503308488456
"1981",12,"4513001",2.63348439881022
"1981",12,"4515002",0.161471038707505
"1981",12,"4522002",0.147412580978214
"1981",12,"4531002",0.50963334788867
"1981",12,"4703002",5.26817214326183
"1981",12,"5100001",2.46968030885212
"1981",12,"5101001",0.933609953009705
"1981",12,"5200001",3.67742419488922
"1981",12,"5401003",44.4268817135981
"1981",12,"5410002",20.6410974345565
"1981",12,"5411001",2.03998865927841
"1981",12,"5414001",12.0629708941217
"1981",12,"5707002",48.0316161818956
"1981",12,"5710001",40.8909623652168
"1981",12,"5721001",18.8523907147308
"1981",12,"5722001",6.15260686918632
"1981",12,"5722002",9.38677808512327
"1981",12,"5730008",6.33403587959551
"1981",12,"5741001",0.486389102022672
"1981",12,"6003001",100.948623823487
"1981",12,"6008005",11.7902239823473
"1981",12,"6013001",49.5823381919064
"1981",12,"6027001",14.0665113454956
"1981",12,"6028001",61.6388021007675
"1981",12,"7103001",45.0005123217761
"1981",12,"7104002",49.4134875262949
"1981",12,"7112001",51.0495066861562
"1981",12,"7115001",85.3952174935911
"1981",12,"7330001",12.7927892637194
"1981",12,"7358001",126.495535774251
"1981",12,"7381001",14.8786480488691
"1981",12,"8104001",26.1316803237665
"1981",12,"8106001",37.3029348951541
"1981",12,"7317005",39.8058984105207
"1981",12,"7350003",37.7835131651575
"1981",12,"7321002",45.9553194366325
"1981",12,"7354002",18.5881020477704
"1981",12,"7355002",37.7059757769796
"1982",1,"3414001",1.0838684205983
"1982",1,"3421001",0.7755614772649
"1982",1,"3430003",0.476573582974768
"1982",1,"3820001",2.39736434242947
"1982",1,"4302001",3.09750032925728
"1982",1,"4311001",6.03130795939515
"1982",1,"4313001",7.27965113794419
"1982",1,"4320001",2.19500604131151
"1982",1,"4501001",4.46032426624112
"1982",1,"4503001",0.411096556672564
"1982",1,"4511002",8.13044103828643
"1982",1,"4513001",2.28374993458634
"1982",1,"4515002",0.0920477898198253
"1982",1,"4522002",0.107821773515494
"1982",1,"4531002",1.12843250484588
"1982",1,"4703002",4.8077797081333
"1982",1,"5100001",3.79342803470817
"1982",1,"5101001",1.21668519851674
"1982",1,"5200001",3.02277168682719
"1982",1,"5401003",32.0144511520787
"1982",1,"5410002",16.9004350949607
"1982",1,"5411001",1.78695940830309
"1982",1,"5414001",9.42200008186495
"1982",1,"5707002",30.4541204722243
"1982",1,"5710001",31.6457696690727
"1982",1,"5721001",10.9724757324638
"1982",1,"5722001",6.94488222665208
"1982",1,"5722002",5.41862633365722
"1982",1,"5730008",7.92517769360893
"1982",1,"5741001",0.419899951376716
"1982",1,"6003001",66.7907768594013
"1982",1,"6008005",3.45175398633955
"1982",1,"6013001",34.5750221436377
"1982",1,"6027001",13.9685119589618
"1982",1,"6028001",36.5843440891454
"1982",1,"7103001",30.6366237796067
"1982",1,"7104002",34.8108253587278
"1982",1,"7112001",39.3279022012493
"1982",1,"7115001",70.6719041326271
"1982",1,"7330001",19.9249950810959
"1982",1,"7358001",116.914887358954
"1982",1,"7381001",14.7624461278032
"1982",1,"8104001",28.7133789046048
"1982",1,"8106001",32.8680651555933
"1982",1,"7317005",36.3267514576883
"1982",1,"7350003",44.1237348845477
"1982",1,"7321002",41.240062837882
"1982",1,"7354002",21.6142258199157
"1982",1,"7355002",50.333777236813
"1982",2,"3414001",1.18059888937607
"1982",2,"3421001",0.901432878069441
"1982",2,"3430003",0.549963831118077
"1982",2,"3820001",2.3642808626289
"1982",2,"4302001",3.33893434895552
"1982",2,"4311001",6.61652546387325
"1982",2,"4313001",7.57393384057606
"1982",2,"4320001",2.28003890517237
"1982",2,"4501001",5.3116538042373
"1982",2,"4503001",3.61481638061645
