"wy_simple","wym","cod_cuenca","pr","tem"
1979,4,"5200001",95.745,8.261
1979,5,"5200001",54.778,6.649
1979,6,"5200001",29.776,3.957
1979,7,"5200001",0.283,8.266
1979,8,"5200001",0.393,10.503
1979,9,"5200001",9.733,12.076
1979,10,"5200001",16.566,13.126
1979,11,"5200001",17.273,12.313
1979,12,"5200001",0.966,14.047
1979,1,"5401003",9.955,4.185
1979,2,"5401003",19.549,-0.927
1979,3,"5401003",0.016,-3.578
1979,4,"5401003",80.372,-0.82
1979,5,"5401003",97.664,-1.384
1979,6,"5401003",5.135,-3.838
1979,7,"5401003",9.109,0.472
1979,8,"5401003",27.942,2.182
1979,9,"5401003",18.521,5.185
1979,10,"5401003",29.529,7.351
1979,11,"5401003",18.117,6.522
1979,12,"5401003",0.242,9.293
1979,1,"5410002",9.858,6.329
1979,2,"5410002",16.779,2.72
1979,3,"5410002",0.004,0.575
1979,4,"5410002",79.375,2.638
1979,5,"5410002",84.287,1.56
1979,6,"5410002",8.714,-0.889
1979,7,"5410002",7.395,3.92
1979,8,"5410002",20.088,5.605
1979,9,"5410002",15.1,7.988
1979,10,"5410002",21.297,9.67
1979,11,"5410002",13.721,8.981
1979,12,"5410002",0.465,11.352
1979,1,"5411001",15.462,11.619
1979,2,"5411001",18.536,9.324
1979,3,"5411001",0.009,8.256
1979,4,"5411001",101.907,9.236
1979,5,"5411001",77.067,7.362
1979,6,"5411001",32.634,4.734
1979,7,"5411001",1.339,10.572
1979,8,"5411001",14.178,11.996
1979,9,"5411001",14.958,14.125
1979,10,"5411001",12.336,15.939
1979,11,"5411001",6.459,15.142
1979,12,"5411001",0.196,16.392
1979,1,"5414001",9.81,7.001
1979,2,"5414001",9.167,4.844
1979,3,"5414001",0,3.687
1979,4,"5414001",73.621,4.961
1979,5,"5414001",69.954,3.953
1979,6,"5414001",17.123,1.342
1979,7,"5414001",4.908,5.784
1979,8,"5414001",7.696,7.853
1979,9,"5414001",10.576,9.345
1979,10,"5414001",20.07,10.429
1979,11,"5414001",19.364,9.663
1979,12,"5414001",0.026,11.815
1979,1,"5707002",11.065,5.641
1979,2,"5707002",34.029,0.753
1979,3,"5707002",1.748,-1.724
1979,4,"5707002",130.902,0.466
1979,5,"5707002",134.242,0.139
